page-links,page-links-href,title,authors,conference,link
Human-Computer Interaction and Visualization,http://research.google.com/pubs/Human-ComputerInteractionandVisualization.html,The word-gesture keyboard: reimagining keyboard interaction (CACM Research Highlight),"Shumin Zhai, Per Ola Kristensson","Communications of the ACM, vol. 55, no. 9 (2012), pp. 91-101",/pubs/archive/39190.pdf
Algorithms and Theory,http://research.google.com/pubs/AlgorithmsandTheory.html,Cardinal Contests,"Arpita Ghosh, Patrick Hummel","Proceedings of the 24th International Conference on the World Wide Web (WWW) (2015), pp. 377-387",
Data Mining,http://research.google.com/pubs/DataMining.html,Diversity maximization under matroid constraints,"Zeinab Abbassi, Vahab Mirrokni, Mayur Thakur","KDD, ACM SIGKDD (2013), pp. 32-40",
Information Retrieval and the Web,http://research.google.com/pubs/InformationRetrievalandtheWeb.html,Circumlocution in Diagnostic Medical Queries,"Isabelle Stanton, Samuel Ieong, Nina Mishra",The 37th Annual ACM SIGIR Conference (2014),
Economics and Electronic Commerce,http://research.google.com/pubs/EconomicsandElectronicCommerce.html,Free-Riding and Free-Labor in Combinatorial Agency,"Moshe Babaioff, Michal Feldman, Noam Nisan","SAGT '09: Proceedings of the 2nd International Symposium on Algorithmic Game Theory, Springer-Verlag, Berlin, Heidelberg (2009), pp. 109-121",
Machine Perception,http://research.google.com/pubs/MachinePerception.html,Estimating the Spectral Reflectance of Natural Imagery Using Color Image Features,"Josh Hyman, Mark Hansen, Eric Graham, Deborah Estrin","Workshop on Applications, Systems, and Algorithms for Image Sensing (2008)",
Artificial Intelligence and Machine Learning,http://research.google.com/pubs/ArtificialIntelligenceandMachineLearning.html,Multi-Class Deep Boosting,"Vitaly Kuznetsov, Mehryar Mohri, Umar Syed",Advances in Neural Information Processing Systems (2014),/pubs/archive/43247.pdf
General Science,http://research.google.com/pubs/GeneralScience.html,Meta-DNA,"Harish Chandran, Nikhil Gopalkrishnan, Bernard Yurke, John H. Reif",Systems and Synthetic Biology: A Systematic Approach (2014),
Information Retrieval and the Web,http://research.google.com/pubs/InformationRetrievalandtheWeb.html,Analysis of an Expert Search Query Log,"Yi Fang, Naveen Somasundaram, Luo Si, Jeongwoo Ko, Aditya P. Mathur",SIGIR (2011),/pubs/archive/37257.pdf
Data Management,http://research.google.com/pubs/DataManagement.html,An Automatic Blocking Mechanism for Large-Scale De-duplication Tasks,"Anish Das Sarma, Ankur Jain, Ashwin Machanavajjhala, Philip Bohannon",CIKM (2012),
Human-Computer Interaction and Visualization,http://research.google.com/pubs/Human-ComputerInteractionandVisualization.html,Extreme usability: adapting research approaches for agile development,"Melissa Federoff, Craig Villamor, Lynn Miller, Jeff Patton, Aviva Rosenstein, Kathy Baxter, Kuldeep Kelkar","CHI'08 extended abstracts on Human factors in computing systems, ACM (2008), pp. 2269-2272",
Artificial Intelligence and Machine Learning,http://research.google.com/pubs/ArtificialIntelligenceandMachineLearning.html,A Discriminative Kernel-based Approach to Retrieval Images from Text Queries,"David Grangier, Samy Bengio","IEEE Transactions on Pattern Analysis and Machine Intelligence, vol. 30 (2008), pp. 1371-1384",/pubs/archive/33027.pdf
Information Retrieval and the Web,http://research.google.com/pubs/InformationRetrievalandtheWeb.html,Information extraction meets relation databases,"Davood Rafiei, Andrei Broder, Edward Chang, Patrick Pantel","CIKM '09: Proceeding of the 18th ACM conference on Information and knowledge management, ACM, New York, NY, USA (2009), pp. 897-897",
Software Engineering,http://research.google.com/pubs/SoftwareEngineering.html,Evaluating Static Analysis Defect Warnings on Production Software,"Nathaniel Ayewah, William Pugh, J. David Morgenthaler, John Penix, YuQian Zhou","Proceedings of the 7th ACM SIGPLAN-SIGSOFT workshop on Program analysis for software tools and engineering, ACM Press, New York, NY, USA (2007), pp. 1-8",/pubs/archive/32791.pdf
Artificial Intelligence and Machine Learning,http://research.google.com/pubs/ArtificialIntelligenceandMachineLearning.html,A Disambiguation Algorithm for Finite Automata and Functional Transducers,"Mehryar Mohri, Andres Munoz Medina","CIAA (2012), pp. 265-277",/pubs/archive/41002.pdf
Human-Computer Interaction and Visualization,http://research.google.com/pubs/Human-ComputerInteractionandVisualization.html,Measuring the User Experience on a Large Scale: User-Centered Metrics for Web Applications,"Kerry Rodden, Hilary Hutchinson, Xin Fu","Proceedings of CHI 2010, ACM Press",/pubs/archive/36299.pdf
Speech Processing,http://research.google.com/pubs/SpeechProcessing.html,Multilingual acoustic models using distributed deep neural networks,"Georg Heigold, Vincent Vanhoucke, Andrew Senior, Patrick Nguyen, Marc'aurelio Ranzato, Matthieu Devin, Jeff Dean","Proceedings of the IEEE International Conference on Acoustics, Speech, and Signal Processing (ICASSP), IEEE, Vancouver, CA (2013)",/pubs/archive/40807.pdf
Human-Computer Interaction and Visualization,http://research.google.com/pubs/Human-ComputerInteractionandVisualization.html,Creating scalable location-based games: lessons from Geocaching,"Carman Neustaedter, Anthony Tang, Tejinder K. Judge","Personal and Ubiquitous Computing, vol. 17 (2013), pp. 335-349",
Algorithms and Theory,http://research.google.com/pubs/AlgorithmsandTheory.html,Max-Cover in Map-Reduce,"Flavio Chierichetti, Ravi Kumar, Andrew Tomkins","Proceedings of the 19th international conference on World Wide Web, ACM, Raleigh, North Carolina (2010), pp. 231-240",
Information Retrieval and the Web,http://research.google.com/pubs/InformationRetrievalandtheWeb.html,Mining Search Engine Query Logs via Suggestion Sampling,"Ziv Bar-Yossef, Maxim Gurevich","Proceedings of the VLDB Endowment (2008), pp. 54-65",/pubs/archive/34456.pdf
Software Systems,http://research.google.com/pubs/SoftwareSystems.html,AGILE: elastic distributed resource scaling for Infrastructure-as-a-Service,"Hiep Nguyen, Zhiming Shen, Xiaohui Gu, Sethuraman Subbiah, John Wilkes","10th International Conference on Autonomic Computing (ICAC), USENIX, San Jose, CA, USA (2013), pp. 69-82",/pubs/archive/41685.pdf
Information Retrieval and the Web,http://research.google.com/pubs/InformationRetrievalandtheWeb.html,Estimating the size of online social networks,"Shaozhi Ye, S. Felix Wu","International Journal of Social Computing and Cyber-Physical Systems, vol. 1 (2011), pp. 160 - 179",/pubs/archive/37602.pdf
Machine Perception,http://research.google.com/pubs/MachinePerception.html,Linear Time Maximally Stable Extremal Regions,"David Nist{\'e}r, Henrik Stewenius","Proc. 10th Europ. Conf. Comput. Vision (2008), pp. 183-196",
Speech Processing,http://research.google.com/pubs/SpeechProcessing.html,Vocaine the Vocoder and Applications in Speech Synthesis,Yannis Agiomyrgiannakis,"ICASSP, IEEE (2015) (to appear)",/pubs/archive/43336.pdf
